fecha,asesor,producto,valor_Base,cantidad,valor_comision
2026-06-01,John Pablo  Hernandez  Arevalo,ACETAMINOFEN 500 MG * 100 TAB,"9,000",12,"1,080"
2026-06-01,John Pablo  Hernandez  Arevalo,AGUA FARMANORTE * 600 ML,"2,600",5,130
2026-06-01,John Pablo  Hernandez  Arevalo,ALGINACID SUSP * 360 ML,"32,900",12,"3,948"
2026-06-01,John Pablo  Hernandez  Arevalo,AMLODIPINO 5 MG * 30 TAB,"25,200",11,"2,772"
2026-06-01,John Pablo  Hernandez  Arevalo,CEFLAXILIN 500 MG * 20 CAP,"31,000",12,"3,720"
2026-06-01,John Pablo  Hernandez  Arevalo,CEVIT NF CEREZA * 30 ML,"23,200",12,"2,784"
2026-06-01,John Pablo  Hernandez  Arevalo,DERMA 3 CREMA * 40 GR,"50,600",12,"6,072"
2026-06-01,John Pablo  Hernandez  Arevalo,EREX BEBIDA * 500 ML,"45,900",10,"4,590"
2026-06-01,John Pablo  Hernandez  Arevalo,EREX BEBIDA 20 ML * 20 S/S,"3,200",10,320
2026-06-01,John Pablo  Hernandez  Arevalo,ROCIBLUE 50 MG * 2 TAB,"20,800",10,"2,080"
2026-06-01,Cristhiam Adrian Botero Rojas,ACTIVIRAL 5% CREMA * 15 GR,"17,200",8,"1,376"
2026-06-01,Cristhiam Adrian Botero Rojas,AGUA FARMANORTE * 600 ML,"20,800",15,"1,040"
2026-06-01,Cristhiam Adrian Botero Rojas,ALVIRET 800 MG * 10 TAB,"24,000",10,"2,400"
2026-06-01,Cristhiam Adrian Botero Rojas,AMOXICILINA 250 MG * 100 ML,"10,700",10,"1,070"
2026-06-01,Cristhiam Adrian Botero Rojas,CLOTRIMAZOL CREMA TOPICA * 40 GR,"13,700",10,"1,370"
2026-06-01,Cristhiam Adrian Botero Rojas,DOLORSIN FEM * 40 CAP L-TR-CAPS,"27,600",24,"2,208"
2026-06-01,Cristhiam Adrian Botero Rojas,EREX BEBIDA 20 ML * 20 S/S,"6,400",10,640
2026-06-01,Cristhiam Adrian Botero Rojas,FLORAUSII  * 10 VIALES,"7,100",5,355
2026-06-01,Cristhiam Adrian Botero Rojas,FYBOFORT PSYLLIUM MICRONIZADO * 12 S/S,"3,700",10,370
2026-06-01,Cristhiam Adrian Botero Rojas,GOFEN FORTE 400 MG * 60 CAP,"14,000",10,"1,400"
2026-06-01,Cristhiam Adrian Botero Rojas,LOPERAMIDA 2 MG * 6 TAB,"7,600",10,760
